,Account,Opportunity_ID,Sales_Agent,SalesAgentEmailID,ContactEmailID,Deal_Stage,Product,Close_Value,Created Date,Close Date,DateDiff,Ordered_Product,Ordered_Agent
0,Konex,3KR50X38,Corliss Cosme,corliss@piedpiper.com,delila@konex.com,1,GTX Plus Basic,1255,2016-01-04,2016-05-24,141,2,21
1,Finjob,YFS5KLJJ,Rosalina Dieter,rosalina@piedpiper.com,belinda@finjob.com,1,MG Special,45,2016-01-04,2016-11-02,303,6,20
2,Kinnamplus,N0ONCYVZ,Donn Cantrell,donn@piedpiper.com,monte@kinnamplus.com,0,MG Special,1054,2016-01-06,2016-12-07,336,6,2
4,Initech,G8AO5FA2,Wilburn Farren,wilburn@piedpiper.com,alejandro@initech.com,0,MG Advanced,517,2016-01-06,2016-09-18,256,1,27
5,Stanredtax,2V848WZD,Lajuana Vencill,lajuana@piedpiper.com,candice@stanredtax.com,1,MG Advanced,3180,2016-01-07,2016-01-31,24,1,0
6,Hatfan,PE84CX4O,Zane Levy,zane@piedpiper.com,tyron@hatfan.com,1,GTX Basic,517,2016-01-08,2016-12-08,335,4,7
7,Y-corporation,GIUUTBXM,Kary Hendrixson,kary@piedpiper.com,rosanne@y-corporation.com,1,GTXPro,5539,2016-01-10,2016-12-03,328,3,9
8,Gogozoom,C20AVXN7,Darcel Schlecht,darcel@piedpiper.com,salina@gogozoom.com,1,GTXPro,4359,2016-01-10,2016-01-28,18,3,12
9,Kinnamplus,VR9NYBOV,Garret Kinder,garret@piedpiper.com,monte@kinnamplus.com,1,MG Special,41,2016-01-11,2016-12-29,353,6,6
10,Sunnamplex,S8DX3XOU,James Ascencio,james@piedpiper.com,maxie@sunnamplex.com,1,GTX Plus Pro,5169,2016-01-14,2016-11-01,292,5,22
11,Scotfind,M6WEJXC0,Rosalina Dieter,rosalina@piedpiper.com,gordon@scotfind.com,1,MG Advanced,3284,2016-01-14,2016-11-19,310,1,20
12,Scotfind,LXXW3TRW,Elease Gluck,elease@piedpiper.com,gordon@scotfind.com,1,GTX Plus Basic,1164,2016-01-14,2016-02-01,18,2,14
13,Mathtouch,REJ11LRY,Garret Kinder,garret@piedpiper.com,loise@mathtouch.com,1,GTX Plus Basic,1233,2016-01-16,2016-04-09,84,2,6
14,Fasehatice,KU28360J,Kary Hendrixson,kary@piedpiper.com,hsiu@fasehatice.com,1,GTX Basic,578,2016-01-17,2016-11-15,303,4,9
16,Funholding,6KZ0NCFX,Versie Hillebrand,versie@piedpiper.com,ying@funholding.com,1,MG Special,54,2016-01-18,2016-11-19,306,6,25
17,Singletechno,S0N7BYU3,Maureen Marcano,maureen@piedpiper.com,tambra@singletechno.com,1,GTX Plus Basic,1070,2016-01-19,2016-02-11,23,2,28
18,Kinnamplus,F90O03ZH,Donn Cantrell,donn@piedpiper.com,monte@kinnamplus.com,0,GTXPro,46,2016-01-19,2016-03-29,70,3,2
19,Statholdings,HEE6P0QH,Anna Snelling,anna@piedpiper.com,verna@statholdings.com,1,MG Advanced,3647,2016-01-20,2016-06-05,137,1,8
20,Fasehatice,IIS0O91J,Kary Hendrixson,kary@piedpiper.com,hsiu@fasehatice.com,1,GTXPro,5149,2016-01-22,2016-03-16,54,3,9
21,Doncon,JLWKWQYC,James Ascencio,james@piedpiper.com,jackie@doncon.com,1,GTXPro,5673,2016-01-23,2016-10-06,257,3,22
